x,y,z
-0.196280002593994,-0.0538999997079372,-0.919660031795502
-0.205800011754036,-0.0564200021326542,-0.92330002784729
-0.213780000805855,-0.0538999997079372,-0.914900004863739
-0.217840000987053,-0.0526400022208691,-0.915040016174316
-0.224980011582375,-0.0530600026249886,-0.912800014019012
-0.224980011582375,-0.0538999997079372,-0.916020035743713
-0.233100011944771,-0.0558600015938282,-0.911680042743683
-0.237160012125969,-0.0532000027596951,-0.911540031433105
-0.244300007820129,-0.047740001231432,-0.919939994812012
-0.244440004229546,-0.0513800010085106,-0.916440010070801
-0.2533999979496,-0.0525000020861626,-0.914340019226074
-0.260540008544922,-0.053480003029108,-0.913500010967255
-0.265860021114349,-0.0443800017237663,-0.918820023536682
-0.263060003519058,-0.04662000015378,-0.922179996967316
-0.267260015010834,-0.0448000021278858,-0.916860044002533
-0.266279995441437,-0.0410200022161007,-0.92441999912262
-0.263060003519058,-0.0421399995684624,-0.922040045261383
-0.271180003881454,-0.0376600027084351,-0.930160045623779
-0.274680018424988,-0.0359800010919571,-0.924280047416687
-0.277900010347366,-0.0396200008690357,-0.932539999485016
-0.276780009269714,-0.0394800007343292,-0.930580019950867
-0.277900010347366,-0.0317800007760525,-0.929180026054382
-0.281120002269745,-0.0348600000143051,-0.933520019054413
-0.281680017709732,-0.0342999994754791,-0.925400018692017
-0.279020011425018,-0.0355600006878376,-0.931560039520264
-0.280420005321503,-0.032480001449585,-0.931280016899109
-0.275099992752075,-0.0348600000143051,-0.935760021209717
-0.277339994907379,-0.0351400002837181,-0.924840033054352
-0.277759999036789,-0.0362600013613701,-0.928620040416718
-0.274260014295578,-0.0399000011384487,-0.925960004329681
-0.268240004777908,-0.0386399999260902,-0.920360028743744
-0.272579997777939,-0.0399000011384487,-0.908740043640137
-0.27020001411438,-0.0432600006461143,-0.920640051364899
-0.266140013933182,-0.0415800027549267,-0.91923999786377
-0.273279994726181,-0.0459199994802475,-0.913500010967255
-0.266140013933182,-0.0431200005114079,-0.920920014381409
-0.272720009088516,-0.046059999614954,-0.914200007915497
-0.265860021114349,-0.0485800020396709,-0.912240028381348
-0.262639999389648,-0.0461999997496605,-0.91294002532959
-0.266560018062592,-0.0455000028014183,-0.909300029277802
-0.268380016088486,-0.0449400022625923,-0.91210001707077
-0.26418000459671,-0.0459199994802475,-0.906360030174255
-0.26502001285553,-0.0455000028014183,-0.915180027484894
-0.255640000104904,-0.0495600029826164,-0.903560042381287
-0.262360006570816,-0.0508200004696846,-0.903980016708374
-0.261099994182587,-0.0504000000655651,-0.902300000190735
-0.267680019140244,-0.0499799996614456,-0.905939996242523
-0.262500017881393,-0.0497000031173229,-0.911260008811951
-0.263060003519058,-0.046900000423193,-0.903560042381287
-0.258440017700195,-0.0511000007390976,-0.902720034122467
-0.260399997234344,-0.0487200021743774,-0.911400020122528
-0.262080013751984,-0.0526400022208691,-0.905660033226013
-0.261940002441406,-0.0529200024902821,-0.906360030174255
-0.260260015726089,-0.0491400025784969,-0.90664005279541
-0.254519999027252,-0.0449400022625923,-0.907060027122498
-0.25424000620842,-0.0495600029826164,-0.911960005760193
-0.25382000207901,-0.0456400029361248,-0.910980045795441
-0.258859992027283,-0.0499799996614456,-0.911119997501373
-0.255919992923737,-0.0536200031638145,-0.907200038433075
-0.25297999382019,-0.0529200024902821,-0.902860045433044
-0.247519999742508,-0.0536200031638145,-0.911960005760193
-0.250880002975464,-0.0527800023555756,-0.906080007553101
-0.245420008897781,-0.0494200028479099,-0.901040017604828
-0.246820002794266,-0.0547400005161762,-0.897819995880127
-0.244440004229546,-0.0578199997544289,-0.894740045070648
-0.241920009255409,-0.0595000013709068,-0.892220020294189
-0.239680007100105,-0.0606200024485588,-0.898520052433014
-0.243600010871887,-0.0544600002467632,-0.900059998035431
-0.235620006918907,-0.0590800009667873,-0.89054000377655
-0.24108000099659,-0.0617399998009205,-0.890680015087128
-0.237440004944801,-0.0567000024020672,-0.884380042552948
-0.239120006561279,-0.0548800006508827,-0.887880027294159
-0.236600011587143,-0.0616000033915043,-0.89054000377655
-0.234360009431839,-0.0593600012362003,-0.887180030345917
-0.236880004405975,-0.0639799982309341,-0.892220020294189
-0.238980010151863,-0.0665000006556511,-0.880460023880005
-0.232540011405945,-0.0634200051426888,-0.881579995155334
-0.230580002069473,-0.0670600011944771,-0.88018000125885
-0.235339999198914,-0.0635600015521049,-0.877660036087036
-0.237580001354218,-0.0680399984121323,-0.872759997844696
-0.242900013923645,-0.0726599991321564,-0.868420004844666
-0.241920009255409,-0.0669200047850609,-0.874160051345825
-0.241640001535416,-0.0680399984121323,-0.872340023517609
-0.246120005846024,-0.0669200047850609,-0.868279993534088
-0.250600010156631,-0.0702800005674362,-0.861000001430511
-0.248080000281334,-0.0737800002098083,-0.854420006275177
-0.251020014286041,-0.0746200010180473,-0.849660038948059
-0.258020013570786,-0.0764399990439415,-0.846720039844513
-0.258440017700195,-0.0796599984169006,-0.851200044155121
-0.262219995260239,-0.0769999995827675,-0.841260015964508
-0.259979993104935,-0.0817600041627884,-0.83244001865387
-0.2637600004673,-0.0804999992251396,-0.832859992980957
-0.267120003700256,-0.0799399986863136,-0.828240036964417
-0.269500017166138,-0.0896000042557716,-0.825440049171448
-0.264880001544952,-0.0844200029969215,-0.809480011463165
-0.261380016803741,-0.0898800045251846,-0.817040026187897
-0.26502001285553,-0.0870800018310547,-0.8089200258255
-0.266840010881424,-0.0958999991416931,-0.806540012359619
-0.260399997234344,-0.0904400050640106,-0.803600013256073
-0.2637600004673,-0.0947800055146217,-0.796039998531342
-0.268099993467331,-0.0968800038099289,-0.791700005531311
-0.264740020036697,-0.0973000004887581,-0.778120040893555
-0.264320015907288,-0.0980000048875809,-0.779520034790039
-0.264320015907288,-0.101500004529953,-0.781760036945343
-0.261940002441406,-0.102060005068779,-0.770139992237091
-0.264039993286133,-0.102620005607605,-0.774200022220612
-0.260260015726089,-0.106680005788803,-0.769860029220581
-0.253120005130768,-0.104580000042915,-0.763700008392334
-0.252420008182526,-0.10360000282526,-0.76118004322052
-0.245700001716614,-0.0988400056958199,-0.770139992237091
-0.244440004229546,-0.104019999504089,-0.762860000133514
-0.240240007638931,-0.104720003902912,-0.768739998340607
-0.233800008893013,-0.105280004441738,-0.764959990978241
-0.228480011224747,-0.105700001120567,-0.765799999237061
-0.223860010504723,-0.105420000851154,-0.758100032806396
-0.219659999012947,-0.102200001478195,-0.758520007133484
-0.216860011219978,-0.10598000138998,-0.757400035858154
-0.208460003137589,-0.104019999504089,-0.758660018444061
-0.205380007624626,-0.109480001032352,-0.753899991512299
-0.2048200070858,-0.107660003006458,-0.749700009822845
-0.203000009059906,-0.113400004804134,-0.742420017719269
-0.197400003671646,-0.1083599999547,-0.745220005512238
-0.196140006184578,-0.113820001482964,-0.7292600274086
-0.196140006184578,-0.110460005700588,-0.726180016994476
-0.190120011568069,-0.114520005881786,-0.713860034942627
-0.186620011925697,-0.112700000405312,-0.715400040149689
-0.175140008330345,-0.111020006239414,-0.711199998855591
-0.170660004019737,-0.110880002379417,-0.709100008010864
-0.165340006351471,-0.112139999866486,-0.708259999752045
-0.168140009045601,-0.112420000135899,-0.719600021839142
-0.164499998092651,-0.112840004265308,-0.71694004535675
-0.161700010299683,-0.112000003457069,-0.715960025787354
-0.162680000066757,-0.107519999146461,-0.734019994735718
-0.153720006346703,-0.108500003814697,-0.728700041770935
-0.154280006885529,-0.105560004711151,-0.737940013408661
-0.148819997906685,-0.103880003094673,-0.749840021133423
-0.146860003471375,-0.106820002198219,-0.744940042495728
-0.14308001101017,-0.101500004529953,-0.754320025444031
-0.139300003647804,-0.100239999592304,-0.764400005340576
-0.135800004005432,-0.0981400012969971,-0.778120040893555
-0.131319999694824,-0.100239999592304,-0.792820036411285
-0.12992000579834,-0.0942200049757957,-0.792400002479553
-0.125300005078316,-0.0964599996805191,-0.80976003408432
-0.120540000498295,-0.0835800021886826,-0.814100027084351
-0.113400004804134,-0.0750400051474571,-0.825860023498535
-0.107660003006458,-0.0722400024533272,-0.834960043430328
-0.105700001120567,-0.0723799988627434,-0.844200015068054
-0.0975800007581711,-0.0593600012362003,-0.850920021533966
-0.092960000038147,-0.063000001013279,-0.853720009326935
-0.0847000032663345,-0.046900000423193,-0.868000030517578
-0.0806400030851364,-0.0422799997031689,-0.876820027828217
-0.0718199983239174,-0.0333200022578239,-0.874860048294067
-0.0702800005674362,-0.026180000975728,-0.887600004673004
-0.0553000010550022,-0.0133000006899238,-0.889420032501221
-0.0532000027596951,-0.00237999996170402,-0.89544004201889
-0.0467600002884865,0.00700000021606684,-0.905660033226013
-0.0425599999725819,0.0137200001627207,-0.908179998397827
-0.0345799997448921,0.0168000012636185,-0.918820023536682
-0.031640000641346,0.0334600023925304,-0.925960004329681
-0.0320600010454655,0.0394800007343292,-0.933800041675568
-0.0331800021231174,0.0538999997079372,-0.941220045089722
-0.0331800021231174,0.0614600032567978,-0.951020002365112
-0.0351400002837181,0.0726599991321564,-0.963480055332184
-0.0354200005531311,0.0875000059604645,-0.973560035228729
-0.0384999997913837,0.092679999768734,-0.977620005607605
-0.0453600026667118,0.100519999861717,-0.997640013694763
-0.0481600016355515,0.11157999932766,-1.00463998317719
-0.0541799999773502,0.123060002923012,-1.0096800327301
-0.0616000033915043,0.133139997720718,-1.01724004745483
-0.0642599985003471,0.132019996643066,-1.02704000473022
-0.0652400031685829,0.137340009212494,-1.03110003471375
-0.071540005505085,0.141819998621941,-1.03949999809265
-0.0812000036239624,0.145879998803139,-1.03824007511139
-0.0834400057792664,0.149379998445511,-1.04509997367859
-0.0891800001263618,0.15302000939846,-1.04817998409271
-0.092960000038147,0.144900009036064,-1.05000007152557
-0.0939400047063828,0.141259998083115,-1.04706001281738
-0.0953400060534477,0.136500000953674,-1.04817998409271
-0.0925400033593178,0.130900010466576,-1.04146003723145
-0.0910000056028366,0.110740005970001,-1.03908002376556
-0.099260002374649,0.102060005068779,-1.02605998516083
-0.0949200019240379,0.0914200022816658,-1.02704000473022
-0.0989800021052361,0.0771400034427643,-1.01486003398895
-0.0964599996805191,0.0662200003862381,-1.00730001926422
-0.0970200002193451,0.0494200028479099,-0.985040009021759
-0.0952000021934509,0.0359800010919571,-0.975940048694611
-0.0980000048875809,0.0211399998515844,-0.970340013504028
-0.101360000669956,0.0138600002974272,-0.955360054969788
-0.113540001213551,-0.00350000010803342,-0.943740010261536
-0.112840004265308,-0.0176400002092123,-0.928900003433228
-0.114800006151199,-0.0218400005251169,-0.923720002174377
-0.117460004985332,-0.0287000015377998,-0.907900035381317
-0.122920006513596,-0.0403200015425682,-0.893480002880096
-0.12712000310421,-0.047180000692606,-0.886480033397675
-0.12907999753952,-0.0565600022673607,-0.877660036087036
-0.133699998259544,-0.0583800002932549,-0.872620046138763
-0.135379999876022,-0.0606200024485588,-0.860860049724579
-0.141400009393692,-0.0670600011944771,-0.847699999809265
-0.146300002932549,-0.0705600008368492,-0.855960011482239
-0.150360003113747,-0.0702800005674362,-0.845040023326874
-0.161280006170273,-0.0764399990439415,-0.856380045413971
-0.170800000429153,-0.0754600018262863,-0.849800050258636
-0.179900005459785,-0.0756000056862831,-0.850639998912811
-0.192919999361038,-0.0740600004792213,-0.862120032310486
-0.199919998645782,-0.0736400038003922,-0.869680047035217
-0.218260005116463,-0.0639799982309341,-0.882700026035309
-0.221340000629425,-0.0589400008320808,-0.889980018138885
-0.237440004944801,-0.0490000024437904,-0.905660033226013
-0.241220012307167,-0.0422799997031689,-0.925680041313171
-0.255360007286072,-0.0309399999678135,-0.937160015106201
-0.262780010700226,-0.0186200011521578,-0.956480026245117
-0.269080013036728,-0.00518000032752752,-0.967120051383972
-0.275240004062653,0.00518000032752752,-0.978600025177002
-0.272720009088516,0.00700000021606684,-0.987280011177063
-0.27538001537323,0.0229599997401237,-0.998060047626495
-0.268660008907318,0.032760001718998,-1.01248002052307
-0.26460000872612,0.0372400023043156,-1.01724004745483
-0.254519999027252,0.0448000021278858,-1.02745997905731
-0.245980009436607,0.0547400005161762,-1.03278005123138
-0.238280013203621,0.0639799982309341,-1.04061996936798
-0.230440005660057,0.0763000026345253,-1.04817998409271
-0.217420011758804,0.0872200056910515,-1.05280005931854
-0.207060009241104,0.0980000048875809,-1.06120002269745
-0.188299998641014,0.10360000282526,-1.05882000923157
-0.172340005636215,0.114100001752377,-1.06190001964569
-0.148680001497269,0.123479999601841,-1.05868005752563
-0.119000002741814,0.126280009746552,-1.04762005805969
-0.0978600010275841,0.128240004181862,-1.04579997062683
-0.0669200047850609,0.132019996643066,-1.02144002914429
-0.0453600026667118,0.13145999610424,-1.00170004367828
-0.0236600004136562,0.126840010285378,-0.985180020332336
0.00490000005811453,0.116340003907681,-0.95088005065918
0.0186200011521578,0.105140000581741,-0.92932003736496
0.0333200022578239,0.102340005338192,-0.904820024967194
0.0446600019931793,0.0854000002145767,-0.878220021724701
0.0506800003349781,0.0743400007486343,-0.854980051517487
0.0557200014591217,0.06216000020504,-0.819840013980865
0.0537599995732307,0.0485800020396709,-0.810739994049072
0.0550200007855892,0.0376600027084351,-0.787780046463013
0.0548800006508827,0.0266000013798475,-0.75628000497818
0.0491400025784969,0.016100000590086,-0.748580038547516
0.0389200001955032,-0.00140000006649643,-0.721840023994446
0.0296800006181002,-0.0126000000163913,-0.701120018959045
0.0189000014215708,-0.0201600007712841,-0.68586003780365
