x,y,z
-0.1726875,0.1925625,-0.4430625
-0.1726875,0.1903125,-0.4453125
-0.1736250,0.1903125,-0.4479375
-0.1726875,0.1899375,-0.4486875
-0.1721250,0.1890000,-0.4468125
-0.1723125,0.1893750,-0.4473750
-0.1728750,0.1890000,-0.4458750
-0.1732500,0.1886250,-0.4460625
-0.1732500,0.1876875,-0.4471875
-0.1734375,0.1880625,-0.4477500
-0.1730625,0.1873125,-0.4468125
-0.1736250,0.1865625,-0.4462500
-0.1747500,0.1869375,-0.4473750
-0.1749375,0.1861875,-0.4475625
-0.1747500,0.1860000,-0.4492500
-0.1741875,0.1863750,-0.4498125
-0.1740000,0.1863750,-0.4486875
-0.1736250,0.1854375,-0.4486875
-0.1740000,0.1854375,-0.4505625
-0.1743750,0.1856250,-0.4518750
-0.1740000,0.1852500,-0.4526250
-0.1745625,0.1845000,-0.4535625
-0.1747500,0.1839375,-0.4533750
-0.1749375,0.1824375,-0.4533750
-0.1755000,0.1816875,-0.4539375
-0.1764375,0.1813125,-0.4543125
-0.1766250,0.1813125,-0.4537500
-0.1768125,0.1801875,-0.4530000
-0.1764375,0.1800000,-0.4537500
-0.1760625,0.1798125,-0.4535625
-0.1758750,0.1794375,-0.4548750
-0.1760625,0.1803750,-0.4556250
-0.1762500,0.1807500,-0.4565625
-0.1758750,0.1805625,-0.4571250
-0.1758750,0.1801875,-0.4569375
-0.1755000,0.1809375,-0.4571250
-0.1751250,0.1807500,-0.4563750
-0.1747500,0.1813125,-0.4560000
-0.1751250,0.1815000,-0.4556250
-0.1753125,0.1811250,-0.4552500
-0.1753125,0.1809375,-0.4563750
-0.1755000,0.1801875,-0.4565625
-0.1756875,0.1790625,-0.4563750
-0.1756875,0.1786875,-0.4567500
-0.1762500,0.1783125,-0.4573125
-0.1766250,0.1781250,-0.4576875
-0.1768125,0.1779375,-0.4580625
-0.1762500,0.1768125,-0.4593750
-0.1766250,0.1756875,-0.4597500
-0.1755000,0.1756875,-0.4595625
-0.1745625,0.1755000,-0.4603125
-0.1745625,0.1749375,-0.4605000
-0.1740000,0.1741875,-0.4612500
-0.1736250,0.1740000,-0.4618125
-0.1732500,0.1738125,-0.4614375
-0.1725000,0.1740000,-0.4614375
-0.1715625,0.1740000,-0.4606875
-0.1715625,0.1740000,-0.4606875
-0.1719375,0.1747500,-0.4610625
-0.1717500,0.1745625,-0.4621875
-0.1715625,0.1751250,-0.4618125
-0.1710000,0.1743750,-0.4618125
-0.1706250,0.1741875,-0.4625625
-0.1708125,0.1740000,-0.4625625
-0.1704375,0.1741875,-0.4635000
-0.1698750,0.1738125,-0.4646250
-0.1702500,0.1738125,-0.4638750
-0.1702500,0.1738125,-0.4633125
-0.1704375,0.1736250,-0.4631250
-0.1704375,0.1738125,-0.4631250
-0.1704375,0.1732500,-0.4631250
-0.1708125,0.1730625,-0.4627500
-0.1715625,0.1726875,-0.4629375
-0.1730625,0.1730625,-0.4636875
-0.1743750,0.1732500,-0.4646250
-0.1741875,0.1728750,-0.4644375
-0.1738125,0.1721250,-0.4646250
-0.1741875,0.1719375,-0.4636875
-0.1743750,0.1723125,-0.4625625
-0.1740000,0.1725000,-0.4621875
-0.1741875,0.1726875,-0.4616250
-0.1732500,0.1723125,-0.4599375
-0.1715625,0.1721250,-0.4590000
-0.1726875,0.1717500,-0.4605000
-0.1734375,0.1721250,-0.4606875
-0.1738125,0.1721250,-0.4618125
-0.1747500,0.1719375,-0.4633125
-0.1755000,0.1721250,-0.4651875
-0.1764375,0.1721250,-0.4659375
-0.1777500,0.1715625,-0.4650000
-0.1781250,0.1711875,-0.4650000
-0.1781250,0.1710000,-0.4636875
-0.1779375,0.1702500,-0.4636875
-0.1781250,0.1693125,-0.4629375
-0.1783125,0.1678125,-0.4618125
-0.1781250,0.1663125,-0.4595625
-0.1775625,0.1653750,-0.4588125
-0.1770000,0.1653750,-0.4606875
-0.1773750,0.1648125,-0.4612500
-0.1775625,0.1650000,-0.4610625
-0.1781250,0.1653750,-0.4610625
-0.1783125,0.1659375,-0.4621875
-0.1790625,0.1668750,-0.4629375
-0.1798125,0.1668750,-0.4633125
-0.1800000,0.1674375,-0.4636875
-0.1805625,0.1676250,-0.4614375
-0.1803750,0.1676250,-0.4612500
-0.1800000,0.1674375,-0.4620000
-0.1803750,0.1670625,-0.4618125
-0.1805625,0.1657500,-0.4620000
-0.1803750,0.1648125,-0.4621875
-0.1800000,0.1653750,-0.4623750
-0.1800000,0.1651875,-0.4614375
-0.1794375,0.1651875,-0.4627500
-0.1792500,0.1650000,-0.4618125
-0.1792500,0.1651875,-0.4614375
-0.1790625,0.1655625,-0.4623750
-0.1785000,0.1665000,-0.4621875
-0.1783125,0.1670625,-0.4620000
-0.1786875,0.1674375,-0.4608750
-0.1783125,0.1674375,-0.4606875
-0.1785000,0.1674375,-0.4603125
-0.1786875,0.1670625,-0.4605000
-0.1790625,0.1666875,-0.4603125
-0.1792500,0.1665000,-0.4588125
-0.1798125,0.1663125,-0.4571250
-0.1801875,0.1663125,-0.4569375
-0.1803750,0.1670625,-0.4582500
-0.1811250,0.1672500,-0.4591875
-0.1813125,0.1674375,-0.4591875
-0.1822500,0.1672500,-0.4597500
-0.1820625,0.1672500,-0.4603125
-0.1824375,0.1674375,-0.4605000
-0.1824375,0.1670625,-0.4610625
-0.1824375,0.1666875,-0.4606875
-0.1826250,0.1655625,-0.4599375
-0.1830000,0.1653750,-0.4597500
-0.1833750,0.1651875,-0.4593750
-0.1830000,0.1657500,-0.4580625
-0.1828125,0.1651875,-0.4580625
-0.1830000,0.1648125,-0.4576875
-0.1854375,0.1659375,-0.4580625
-0.1861875,0.1663125,-0.4580625
-0.1856250,0.1663125,-0.4580625
-0.1852500,0.1663125,-0.4575000
-0.1852500,0.1663125,-0.4590000
-0.1856250,0.1665000,-0.4595625
-0.1856250,0.1668750,-0.4590000
-0.1854375,0.1676250,-0.4597500
-0.1830000,0.1674375,-0.4605000
-0.1828125,0.1674375,-0.4599375
-0.1835625,0.1685625,-0.4595625
-0.1837500,0.1711875,-0.4593750
-0.1837500,0.1713750,-0.4584375
-0.1837500,0.1711875,-0.4590000
-0.1843125,0.1715625,-0.4591875
-0.1841250,0.1711875,-0.4588125
-0.1841250,0.1713750,-0.4584375
-0.1835625,0.1715625,-0.4591875
-0.1831875,0.1708125,-0.4591875
-0.1831875,0.1689375,-0.4590000
-0.1835625,0.1681875,-0.4586250
-0.1833750,0.1685625,-0.4578750
-0.1833750,0.1695000,-0.4575000
-0.1839375,0.1693125,-0.4561875
-0.1845000,0.1689375,-0.4560000
-0.1852500,0.1685625,-0.4556250
-0.1858125,0.1685625,-0.4552500
-0.1856250,0.1680000,-0.4552500
-0.1858125,0.1687500,-0.4548750
-0.1867500,0.1693125,-0.4548750
-0.1867500,0.1689375,-0.4539375
-0.1865625,0.1689375,-0.4548750
-0.1863750,0.1687500,-0.4546875
-0.1861875,0.1685625,-0.4550625
-0.1860000,0.1683750,-0.4556250
-0.1861875,0.1693125,-0.4556250
-0.1860000,0.1691250,-0.4561875
-0.1856250,0.1681875,-0.4561875
-0.1861875,0.1676250,-0.4573125
-0.1863750,0.1676250,-0.4573125
-0.1865625,0.1681875,-0.4578750
-0.1867500,0.1681875,-0.4575000
-0.1867500,0.1678125,-0.4561875
-0.1871250,0.1668750,-0.4561875
-0.1869375,0.1666875,-0.4558125
-0.1869375,0.1665000,-0.4558125
-0.1871250,0.1665000,-0.4552500
-0.1875000,0.1663125,-0.4548750
-0.1880625,0.1661250,-0.4535625
-0.1882500,0.1663125,-0.4539375
-0.1880625,0.1661250,-0.4552500
-0.1882500,0.1659375,-0.4554375
-0.1884375,0.1651875,-0.4560000
-0.1884375,0.1653750,-0.4565625
-0.1884375,0.1651875,-0.4575000
-0.1880625,0.1650000,-0.4580625
-0.1875000,0.1646250,-0.4584375
-0.1876875,0.1644375,-0.4571250
-0.1880625,0.1648125,-0.4569375
-0.1878750,0.1651875,-0.4571250
-0.1878750,0.1659375,-0.4569375
-0.1878750,0.1657500,-0.4567500
-0.1878750,0.1659375,-0.4560000
-0.1884375,0.1659375,-0.4565625
-0.1888125,0.1653750,-0.4565625
-0.1888125,0.1648125,-0.4578750
-0.1886250,0.1640625,-0.4576875
-0.1886250,0.1636875,-0.4575000
-0.1890000,0.1636875,-0.4580625
-0.1891875,0.1640625,-0.4576875
-0.1888125,0.1636875,-0.4575000
-0.1878750,0.1635000,-0.4571250
